Leaf ,Top,Bottom
1,32.8333333,30.2777778
2,30.6111111,29.2222222
3,33.5555556,28.6666667
4,30.8888889,28.5
5,27.2777778,27.2777778
6,35,31.1666667
7,38.4444444,36.0555556
8,31.3888889,30.0555556
9,35.6666667,34.3888889
10,34,32
11,33.2777778,30.7777778
12,35.2777778,32.2777778
13,30.0555556,30.3888889
14,31.3888889,30.8888889
15,32.8888889,30.1666667
16,31.0555556,29.8888889
17,33.1111111,31.2777778
18,34.2777778,32.5
19,31.5,31.0555556
20,38,27
21,28.0555556,27
22,26.2777778,26.7777778
23,28.3888889,33.6111111
24,28.5555556,27.5555556
25,34.1666667,29.6666667
26,38,36.2777778
27,29.6666667,28.2777778
28,32.1666667,29.2777778
29,36.8888889,34.8888889
30,33.6666667,32.5555556
31,36.5,32.5555556
32,33.2777778,33.2777778
33,38.7777778,38.4444444
34,33.0555556,32
35,28,29.7777778